# Atek+ 2022
# https://arxiv.org/abs/2202.04081
# Figure 8
# Mstar [log Msun], SFR_Halpha/SFR_UV [log]
7.441, 0.819
7.691, 0.785
7.891, 0.846
7.821, 0.745
7.840, 0.568
7.581, 0.486
8.019, 0.827
8.011, 0.749
8.102, 0.736
8.310, 0.720
8.680, 0.781
8.151, 0.675
8.053, 0.619
8.112, 0.594
8.060, 0.563
8.121, 0.537
8.030, 0.501
8.060, 0.472
7.979, 0.458
7.923, 0.417
7.870, 0.349
7.870, 0.328
7.811, 0.320
7.760, 0.353
7.960, 0.314
7.979, 0.321
8.021, 0.342
8.053, 0.395
8.096, 0.451
8.121, 0.459
8.137, 0.450
8.130, 0.433
8.161, 0.423
8.172, 0.416
8.172, 0.360
8.070, 0.281
8.061, 0.240
8.000, 0.218
8.032, 0.169
8.033, 0.152
8.018, 0.143
8.021, 0.114
7.961, 0.086
7.970, 0.074
8.011, 0.082
8.035, 0.059
8.007, 0.034
8.081, 0.050
8.121, 0.055
8.151, 0.004
8.198, -0.018
8.230, -0.027
8.189, -0.055
8.172, -0.040
8.077, -0.091
8.124, -0.082
8.121, -0.109
8.019, -0.060
7.979, -0.073
7.919, -0.010
7.949, -0.129
7.730, 0.130
7.741, 0.184
8.070, -0.198
8.151, -0.188
8.259, -0.188
8.281, -0.162
8.330, -0.180
8.319, -0.134
8.312, -0.111
8.351, -0.104
8.351, -0.096
8.284, -0.071
8.284, -0.043
8.302, -0.045
8.337, -0.040
8.298, -0.025
8.326, -0.004
8.288, 0.008
8.302, 0.021
8.330, 0.036
8.312, 0.039
8.295, 0.067
8.259, 0.082
8.270, 0.105
8.217, 0.097
8.217, 0.069
8.175, 0.067
8.175, 0.128
8.196, 0.133
8.240, 0.174
8.151, 0.195
8.123, 0.227
8.130, 0.248
8.177, 0.267
8.219, 0.269
8.224, 0.283
8.259, 0.263
8.245, 0.257
8.186, 0.304
8.188, 0.316
8.221, 0.321
8.231, 0.339
8.238, 0.355
8.281, 0.311
8.258, 0.386
8.249, 0.400
8.238, 0.433
8.200, 0.477
8.323, 0.385
8.351, 0.344
8.361, 0.297
8.330, 0.273
8.295, 0.258
8.337, 0.250
8.303, 0.249
8.354, 0.232
8.316, 0.204
8.288, 0.194
8.330, 0.176
8.326, 0.166
8.288, 0.156
8.263, 0.130
8.324, 0.118
8.328, 0.141
8.340, 0.067
8.396, 0.067
8.379, 0.085
8.396, 0.108
8.421, 0.118
8.414, 0.092
8.456, 0.090
8.456, 0.113
8.428, 0.128
8.442, 0.141
8.470, 0.133
8.466, 0.141
8.459, 0.161
8.438, 0.156
8.393, 0.165
8.368, 0.194
8.396, 0.217
8.435, 0.197
8.410, 0.217
8.414, 0.187
8.484, 0.204
8.358, 0.268
8.515, 0.184
8.533, 0.153
8.523, 0.141
8.523, 0.125
8.547, 0.100
8.572, 0.125
8.593, 0.133
8.586, 0.158
8.610, 0.141
8.554, 0.161
8.582, 0.102
8.561, 0.067
8.523, 0.049
8.473, 0.077
8.424, 0.067
8.442, 0.039
8.452, 0.011
8.393, 0.034
8.368, 0.013
8.358, -0.017
8.319, -0.004
8.386, -0.045
8.368, -0.048
8.386, -0.068
8.424, -0.043
8.410, -0.043
8.449, -0.035
8.449, -0.048
8.442, -0.076
8.463, -0.073
8.487, -0.071
8.498, -0.053
8.505, -0.035
8.547, -0.017
8.561, -0.004
8.498, 0.003
8.530, -0.043
8.530, -0.068
8.523, -0.091
8.533, -0.111
8.552, -0.114
8.480, -0.129
8.540, -0.139
8.563, -0.179
8.537, -0.162
8.547, -0.190
8.498, -0.223
8.449, -0.190
8.463, -0.218
8.421, -0.190
8.417, -0.216
8.400, -0.206
8.384, -0.183
8.416, -0.281
8.326, -0.259
8.323, -0.292
8.267, -0.310
8.216, -0.272
8.245, -0.361
8.070, -0.394
8.259, 0.608
8.231, 0.584
8.244, 0.547
8.270, 0.525
8.259, 0.512
8.312, 0.492
8.291, 0.495
8.270, 0.477
8.319, 0.548
8.347, 0.556
8.379, 0.617
8.500, 0.655
8.470, 0.576
8.449, 0.487
8.407, 0.459
8.428, 0.446
8.424, 0.421
8.396, 0.428
8.351, 0.444
8.351, 0.456
8.400, 0.339
8.435, 0.344
8.547, 0.311
8.561, 0.306
8.547, 0.352
8.558, 0.380
8.589, 0.380
8.617, 0.377
8.596, 0.416
8.635, 0.444
8.656, 0.423
8.666, 0.377
8.589, 0.487
8.589, 0.497
8.561, 0.497
8.670, 0.512
8.701, 0.502
8.628, 0.556
8.775, 0.495
8.810, 0.360
8.866, 0.324
8.870, 0.319
8.929, 0.344
8.933, 0.296
8.866, 0.237
8.810, 0.273
8.747, 0.286
8.680, 0.273
8.677, 0.288
8.649, 0.321
8.691, 0.230
8.680, 0.243
8.649, 0.232
8.677, 0.194
8.607, 0.179
8.631, 0.169
8.659, 0.146
8.670, 0.156
8.733, 0.113
8.684, 0.095
8.666, 0.105
8.649, 0.097
8.645, 0.046
8.670, 0.059
8.680, 0.041
8.698, 0.052
8.722, 0.062
8.761, 0.067
8.786, 0.077
8.782, 0.092
8.824, 0.100
8.845, 0.148
8.803, 0.171
8.922, 0.113
8.999, 0.156
9.010, 0.166
9.010, 0.095
9.049, 0.067
9.091, 0.001
9.041, -0.004
9.024, -0.015
9.017, -0.058
8.982, -0.048
8.978, -0.088
8.985, -0.122
8.975, -0.144
8.943, -0.139
8.905, -0.155
8.894, -0.170
8.926, -0.178
8.954, -0.188
8.898, -0.195
8.887, -0.223
8.856, -0.198
8.831, -0.195
8.870, -0.155
8.842, -0.139
8.771, -0.150
8.761, -0.139
8.761, -0.127
8.754, -0.101
8.761, -0.088
8.789, -0.045
8.803, -0.050
8.775, -0.030
8.810, -0.017
8.771, 0.021
8.803, 0.024
8.778, 0.044
8.803, 0.052
8.870, 0.021
8.835, 0.008
8.863, -0.007
8.891, 0.011
8.922, -0.002
8.929, -0.032
8.950, -0.027
8.898, -0.030
8.845, -0.035
8.852, -0.060
8.884, -0.060
8.856, -0.091
8.901, -0.076
8.901, -0.116
8.859, -0.116
8.796, -0.208
8.771, -0.213
8.782, -0.198
8.764, -0.190
8.747, -0.162
8.726, -0.167
8.708, -0.188
8.694, -0.193
8.673, -0.195
8.701, -0.216
8.645, -0.175
8.645, -0.201
8.607, -0.183
8.621, -0.170
8.631, -0.155
8.607, -0.160
8.586, -0.155
8.677, -0.137
8.670, -0.116
8.701, -0.122
8.726, -0.122
8.631, -0.106
8.614, -0.106
8.614, -0.094
8.600, -0.101
8.614, -0.063
8.565, -0.055
8.638, -0.063
8.656, -0.055
8.614, -0.038
8.705, -0.022
8.694, -0.010
8.684, 0.006
8.656, -0.015
8.628, -0.012
8.607, -0.017
8.582, -0.012
8.603, -0.010
8.600, 0.016
8.614, 0.036
8.579, 0.041
8.698, -0.071
8.726, -0.058
8.652, -0.221
8.642, -0.259
8.624, -0.254
8.610, -0.244
8.586, -0.254
8.551, -0.246
8.515, -0.254
8.547, -0.320
8.593, -0.292
8.631, -0.279
8.649, -0.297
8.687, -0.300
8.621, -0.292
8.712, -0.333
8.754, -0.361
8.558, -0.358
8.445, -0.366
8.347, -0.407
8.347, -0.417
8.438, -0.422
8.442, -0.445
8.515, -0.414
8.515, -0.458
8.565, -0.524
8.551, -0.539
8.498, -0.552
8.600, -0.567
8.544, -0.638
8.659, -0.628
8.715, -0.633
8.579, -0.687
8.340, -0.524
8.561, -0.386
8.582, -0.366
8.600, -0.386
8.617, -0.374
8.628, -0.404
8.645, -0.371
8.645, -0.389
8.677, -0.384
8.712, -0.386
8.593, -0.417
8.722, -0.412
8.708, -0.442
8.733, -0.453
8.712, -0.465
8.747, -0.435
8.789, -0.432
8.768, -0.404
8.722, -0.394
8.754, -0.391
8.796, -0.394
8.807, -0.417
8.803, -0.417
8.824, -0.404
8.831, -0.427
8.859, -0.430
8.810, -0.460
8.796, -0.473
8.782, -0.475
8.761, -0.470
8.736, -0.516
8.793, -0.506
8.789, -0.539
8.761, -0.572
8.800, -0.590
8.778, -0.608
8.828, -0.613
8.852, -0.565
8.863, -0.560
8.828, -0.544
8.870, -0.532
8.828, -0.504
8.863, -0.473
8.877, -0.465
8.905, -0.460
8.929, -0.458
8.894, -0.435
8.898, -0.486
8.933, -0.486
8.968, -0.483
8.950, -0.455
8.954, -0.427
8.922, -0.425
8.961, -0.397
8.954, -0.374
8.940, -0.369
8.919, -0.369
8.898, -0.391
8.884, -0.374
8.898, -0.361
8.915, -0.351
8.898, -0.351
8.884, -0.346
8.880, -0.328
8.919, -0.323
8.936, -0.325
8.842, -0.351
8.821, -0.346
8.824, -0.381
8.786, -0.343
8.789, -0.315
8.786, -0.285
8.789, -0.285
8.817, -0.264
8.842, -0.251
8.786, -0.272
8.754, -0.254
8.786, -0.246
8.796, -0.241
8.757, -0.236
8.863, -0.282
8.845, -0.307
8.887, -0.272
8.894, -0.254
8.905, -0.251
8.940, -0.297
8.978, -0.277
8.968, -0.257
8.989, -0.254
9.013, -0.244
9.027, -0.259
9.020, -0.269
9.038, -0.285
9.017, -0.300
9.017, -0.313
9.049, -0.313
9.063, -0.302
9.080, -0.297
9.098, -0.310
9.108, -0.323
9.108, -0.330
9.066, -0.328
9.056, -0.318
9.017, -0.338
9.003, -0.338
8.975, -0.335
8.975, -0.330
9.031, -0.363
9.056, -0.369
9.066, -0.379
9.080, -0.381
9.094, -0.366
9.070, -0.346
9.112, -0.343
9.129, -0.341
9.147, -0.343
9.161, -0.333
9.147, -0.328
9.108, -0.353
9.136, -0.356
9.154, -0.348
9.189, -0.338
9.196, -0.335
9.203, -0.320
9.182, -0.310
9.178, -0.305
9.164, -0.290
9.133, -0.282
9.094, -0.305
9.133, -0.295
9.161, -0.287
9.168, -0.277
9.182, -0.267
9.189, -0.264
9.182, -0.249
9.175, -0.236
9.171, -0.226
9.150, -0.218
9.150, -0.206
9.182, -0.193
9.192, -0.188
9.192, -0.175
9.171, -0.162
9.133, -0.162
9.101, -0.175
9.108, -0.188
9.143, -0.188
9.147, -0.188
9.091, -0.213
9.087, -0.213
9.084, -0.201
9.077, -0.198
9.052, -0.198
9.034, -0.198
9.024, -0.193
9.017, -0.193
8.992, -0.206
8.989, -0.221
8.968, -0.234
8.975, -0.234
8.936, -0.226
9.105, -0.244
9.094, -0.264
9.077, -0.144
9.087, -0.129
9.112, -0.139
9.115, -0.116
9.045, -0.106
9.045, -0.096
9.084, -0.053
9.168, -0.073
9.185, -0.027
9.203, 0.016
9.227, -0.007
9.245, -0.020
9.255, -0.038
9.238, -0.066
9.238, -0.081
9.231, -0.129
9.217, -0.142
9.252, -0.160
9.245, -0.190
9.224, -0.206
9.199, -0.223
9.227, -0.246
9.262, -0.231
9.283, -0.231
9.305, -0.213
9.315, -0.206
9.322, -0.231
9.326, -0.241
9.347, -0.208
9.364, -0.218
9.375, -0.221
9.413, -0.211
9.413, -0.211
9.357, -0.244
9.343, -0.264
9.333, -0.285
9.319, -0.290
9.312, -0.292
9.294, -0.295
9.283, -0.297
9.276, -0.300
9.269, -0.274
9.269, -0.269
9.245, -0.282
9.262, -0.300
9.227, -0.307
9.227, -0.333
9.241, -0.341
9.238, -0.366
9.273, -0.356
9.312, -0.338
9.312, -0.323
9.297, -0.323
9.210, -0.379
9.203, -0.394
9.189, -0.391
9.185, -0.391
9.157, -0.402
9.147, -0.407
9.122, -0.417
9.115, -0.427
9.101, -0.445
9.049, -0.425
9.077, -0.412
9.070, -0.427
9.059, -0.445
9.070, -0.460
9.091, -0.465
9.091, -0.470
9.066, -0.488
9.105, -0.486
9.126, -0.493
9.126, -0.509
9.115, -0.534
9.133, -0.542
9.119, -0.557
9.091, -0.570
9.084, -0.570
9.087, -0.544
9.091, -0.590
9.073, -0.598
9.056, -0.600
9.070, -0.610
9.087, -0.621
9.080, -0.649
9.098, -0.646
9.108, -0.636
9.101, -0.621
9.147, -0.608
9.143, -0.598
9.136, -0.590
9.175, -0.580
9.182, -0.577
9.199, -0.557
9.206, -0.544
9.196, -0.529
9.189, -0.514
9.213, -0.509
9.238, -0.501
9.238, -0.481
9.238, -0.468
9.192, -0.483
9.192, -0.488
9.175, -0.488
9.164, -0.473
9.199, -0.463
9.210, -0.437
9.196, -0.430
9.168, -0.450
9.154, -0.460
9.136, -0.460
9.126, -0.453
9.157, -0.450
9.147, -0.442
9.034, -0.468
9.006, -0.460
9.006, -0.442
9.006, -0.488
9.038, -0.496
9.034, -0.509
9.013, -0.521
9.013, -0.529
9.038, -0.552
9.056, -0.552
9.013, -0.554
9.003, -0.537
8.992, -0.560
8.985, -0.565
8.971, -0.570
9.006, -0.580
9.017, -0.603
9.024, -0.613
9.020, -0.628
8.964, -0.656
8.919, -0.590
8.919, -0.580
8.933, -0.537
9.059, -0.707
9.010, -0.829
9.077, -0.789
9.077, -0.860
9.126, -0.860
9.147, -0.860
9.150, -0.835
9.150, -0.875
9.234, -0.873
9.248, -0.888
8.982, -1.051
9.290, -1.173
9.452, -0.982
9.652, -0.972
9.389, -0.883
9.392, -0.865
9.368, -0.806
9.329, -0.796
9.312, -0.778
9.280, -0.781
9.452, -0.750
9.501, -0.776
9.557, -0.745
9.736, -0.855
9.827, -0.771
9.795, -0.633
9.827, -0.631
9.932, -0.633
9.936, -0.570
10.055, -0.539
10.216, -0.544
10.251, -0.488
9.483, -0.712
9.504, -0.677
9.480, -0.654
9.452, -0.682
9.434, -0.687
9.431, -0.664
9.438, -0.613
9.392, -0.638
9.378, -0.661
9.329, -0.664
9.319, -0.651
9.329, -0.636
9.290, -0.618
9.290, -0.603
9.297, -0.562
9.280, -0.557
9.273, -0.542
9.241, -0.580
9.241, -0.603
9.234, -0.610
9.210, -0.621
9.210, -0.636
9.245, -0.644
9.255, -0.636
9.248, -0.636
9.220, -0.669
9.255, -0.682
9.224, -0.702
9.192, -0.710
9.171, -0.689
9.143, -0.710
9.140, -0.682
9.157, -0.672
9.185, -0.654
9.273, -0.493
9.319, -0.506
9.368, -0.478
9.382, -0.442
9.413, -0.450
9.392, -0.475
9.431, -0.483
9.427, -0.491
9.357, -0.524
9.389, -0.506
9.417, -0.496
9.399, -0.529
9.417, -0.537
9.424, -0.547
9.399, -0.562
9.375, -0.572
9.343, -0.580
9.350, -0.616
9.385, -0.588
9.417, -0.582
9.438, -0.580
9.466, -0.588
9.466, -0.593
9.462, -0.549
9.441, -0.552
9.441, -0.565
9.466, -0.557
9.508, -0.542
9.525, -0.537
9.532, -0.519
9.532, -0.498
9.557, -0.491
9.494, -0.504
9.476, -0.498
9.497, -0.486
9.504, -0.478
9.532, -0.440
9.550, -0.437
9.550, -0.422
9.536, -0.402
9.525, -0.389
9.532, -0.376
9.546, -0.369
9.536, -0.353
9.511, -0.348
9.476, -0.369
9.469, -0.397
9.490, -0.409
9.504, -0.419
9.487, -0.414
9.459, -0.417
9.434, -0.435
9.434, -0.440
9.427, -0.422
9.424, -0.417
9.417, -0.409
9.375, -0.404
9.357, -0.404
9.347, -0.399
9.347, -0.384
9.347, -0.379
9.326, -0.371
9.329, -0.427
9.308, -0.425
9.294, -0.417
9.283, -0.407
9.262, -0.422
9.238, -0.460
9.252, -0.463
9.269, -0.440
9.308, -0.430
9.319, -0.430
9.287, -0.435
9.392, -0.381
9.385, -0.399
9.371, -0.371
9.392, -0.338
9.448, -0.351
9.438, -0.376
9.462, -0.386
9.476, -0.348
9.476, -0.343
9.504, -0.307
9.445, -0.300
9.413, -0.305
9.413, -0.277
9.445, -0.241
9.483, -0.229
9.497, -0.262
9.532, -0.211
9.287, -0.099
9.308, -0.124
9.326, -0.152
9.392, -0.139
9.392, -0.101
9.396, -0.167
9.455, -0.167
9.434, -0.180
9.417, -0.190
9.473, -0.167
9.434, -0.144
9.452, -0.111
9.490, -0.094
9.445, -0.078
9.480, -0.055
9.424, -0.045
9.382, -0.035
9.497, -0.142
9.525, -0.144
9.539, -0.160
9.585, -0.139
9.578, -0.109
9.617, -0.088
9.648, -0.081
9.627, -0.068
9.701, -0.081
9.662, -0.045
9.662, -0.015
9.676, 0.011
9.666, 0.039
9.613, 0.069
9.704, 0.072
9.683, 0.115
9.655, 0.118
9.631, 0.164
9.771, 0.130
9.613, -0.015
9.613, -0.002
9.497, 0.016
9.459, 0.034
9.452, 0.064
9.364, 0.064
9.455, 0.123
9.413, 0.161
9.210, 0.329
9.417, 0.296
9.490, 0.207
9.687, 0.431
9.785, 0.344
10.048, 0.240
10.227, 0.439
10.255, 0.311
10.272, 0.237
10.241, 0.202
10.230, 0.171
10.304, 0.049
10.290, 0.064
10.276, 0.041
10.244, 0.092
10.129, 0.092
10.132, 0.034
10.101, 0.013
10.055, 0.041
10.055, 0.006
10.002, 0.006
10.016, 0.024
9.999, 0.044
9.981, 0.095
9.978, 0.018
9.904, 0.011
9.915, -0.032
9.960, -0.058
9.953, -0.086
9.876, -0.081
9.887, -0.071
9.859, -0.058
9.781, -0.111
9.743, -0.114
9.799, -0.142
9.778, -0.137
9.757, -0.157
9.652, -0.173
9.690, -0.185
9.634, -0.195
9.645, -0.221
9.690, -0.221
9.662, -0.244
9.641, -0.251
9.610, -0.234
9.596, -0.246
9.564, -0.267
9.589, -0.279
9.627, -0.279
9.634, -0.290
9.655, -0.305
9.676, -0.310
9.666, -0.287
9.655, -0.274
9.711, -0.330
9.746, -0.323
9.764, -0.282
9.785, -0.262
9.718, -0.246
9.743, -0.231
9.785, -0.221
9.809, -0.198
9.816, -0.178
9.831, -0.221
9.774, -0.246
9.834, -0.239
9.869, -0.241
9.855, -0.262
9.880, -0.282
9.911, -0.282
9.925, -0.323
9.932, -0.330
9.992, -0.318
9.981, -0.287
